"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 15 16:28:47 MSK 2020","Tue Dec 15 16:28:49 MSK 2020","2139","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"passed","Tue Dec 15 16:29:56 MSK 2020","Tue Dec 15 16:30:08 MSK 2020","11983","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Tue Dec 15 16:29:42 MSK 2020","Tue Dec 15 16:29:43 MSK 2020","1384","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Tue Dec 15 16:29:00 MSK 2020","Tue Dec 15 16:29:12 MSK 2020","12126","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"skipped","Tue Dec 15 16:29:36 MSK 2020","Tue Dec 15 16:29:39 MSK 2020","2859","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Tue Dec 15 16:28:28 MSK 2020","Tue Dec 15 16:28:30 MSK 2020","1406","module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"passed","Tue Dec 15 16:28:55 MSK 2020","Tue Dec 15 16:28:57 MSK 2020","2829","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket",""
"passed","Tue Dec 15 16:28:51 MSK 2020","Tue Dec 15 16:28:52 MSK 2020","1084","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"passed","Tue Dec 15 16:30:24 MSK 2020","Tue Dec 15 16:30:25 MSK 2020","1376","module_5","test_screenshots","TestScreenshots","","","test_item_page_has_add_basket_button",""
"passed","Tue Dec 15 16:28:32 MSK 2020","Tue Dec 15 16:28:44 MSK 2020","11897","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Tue Dec 15 16:28:25 MSK 2020","Tue Dec 15 16:28:26 MSK 2020","1108","module_5","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"skipped","Tue Dec 15 16:29:15 MSK 2020","Tue Dec 15 16:29:19 MSK 2020","3758","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Tue Dec 15 16:29:46 MSK 2020","Tue Dec 15 16:29:48 MSK 2020","1840","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Tue Dec 15 16:29:21 MSK 2020","Tue Dec 15 16:29:34 MSK 2020","12070","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Tue Dec 15 16:30:17 MSK 2020","Tue Dec 15 16:30:21 MSK 2020","4445","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
